"id","high_risk","outcome"
177,FALSE,2
178,FALSE,2
179,FALSE,2
180,FALSE,3
181,FALSE,1
182,TRUE,4
183,FALSE,2
184,FALSE,3
185,FALSE,2
186,TRUE,4
187,FALSE,1
188,FALSE,1
189,FALSE,1
190,FALSE,1
191,FALSE,2
192,FALSE,0
193,FALSE,1
194,FALSE,0
195,TRUE,4
196,TRUE,4
197,TRUE,4
198,FALSE,3
199,FALSE,1
200,TRUE,4
201,FALSE,1
202,FALSE,0
203,FALSE,2
204,FALSE,2
205,FALSE,1
206,TRUE,4
207,FALSE,2
208,FALSE,1
209,FALSE,1
210,FALSE,0
211,FALSE,1
212,FALSE,1
213,TRUE,4
214,FALSE,2
215,FALSE,2
216,FALSE,1
217,FALSE,0
218,TRUE,4
219,FALSE,2
220,FALSE,1
221,FALSE,0
222,FALSE,1
223,FALSE,0
224,FALSE,2
225,FALSE,1
226,FALSE,2
227,FALSE,1
228,FALSE,3
229,TRUE,4
230,TRUE,4
231,TRUE,4
232,FALSE,1
233,FALSE,2
234,FALSE,3
235,FALSE,1
236,FALSE,1
237,FALSE,1
238,FALSE,3
239,FALSE,0
240,FALSE,1
241,FALSE,0
242,FALSE,2
243,FALSE,1
244,FALSE,3
245,FALSE,1
246,FALSE,1
247,FALSE,0
248,TRUE,4
249,FALSE,2
250,FALSE,0
251,FALSE,0
252,FALSE,2
253,FALSE,2
254,FALSE,0
255,TRUE,4
256,FALSE,3
257,FALSE,3
258,FALSE,1
259,FALSE,3
260,FALSE,0
261,TRUE,4
262,FALSE,0
263,FALSE,3
264,FALSE,1
265,TRUE,4
266,FALSE,0
267,FALSE,1
268,FALSE,3
269,TRUE,4
270,FALSE,0
271,FALSE,1
272,FALSE,2
273,FALSE,1
274,FALSE,1
275,FALSE,2
276,TRUE,4
277,FALSE,2
278,FALSE,3
279,FALSE,3
280,FALSE,1
281,FALSE,1
282,TRUE,4
283,FALSE,0
284,FALSE,2
285,FALSE,3
286,FALSE,0
287,FALSE,2
288,FALSE,2
289,FALSE,0
290,TRUE,4
291,TRUE,4
292,TRUE,4
293,TRUE,4
294,TRUE,4
295,FALSE,1
296,TRUE,4
297,FALSE,2
298,TRUE,4
299,FALSE,1
300,FALSE,2
301,TRUE,4
302,TRUE,4
303,FALSE,0
304,TRUE,4
305,FALSE,3
306,FALSE,1
307,FALSE,2
308,TRUE,4
309,FALSE,2
310,FALSE,4
311,FALSE,2
312,FALSE,0
313,FALSE,2
314,FALSE,2
315,FALSE,1
316,FALSE,1
317,FALSE,0
318,FALSE,2
319,FALSE,1
320,FALSE,2
321,FALSE,1
322,FALSE,0
323,FALSE,2
324,TRUE,4
325,FALSE,1
326,FALSE,1
327,FALSE,1
328,FALSE,4
329,FALSE,1
330,FALSE,3
331,FALSE,0
332,FALSE,1
333,FALSE,2
334,TRUE,4
335,FALSE,2
336,FALSE,1
337,FALSE,1
338,FALSE,2
339,FALSE,2
340,FALSE,1
341,FALSE,0
342,FALSE,3
343,FALSE,2
344,FALSE,2
345,FALSE,2
346,FALSE,1
347,FALSE,2
348,TRUE,4
349,TRUE,4
350,FALSE,2
351,FALSE,1
352,TRUE,4
353,FALSE,3
354,FALSE,1
355,FALSE,0
356,FALSE,1
357,FALSE,2
358,FALSE,2
359,FALSE,1
360,FALSE,1
361,TRUE,4
362,FALSE,2
363,FALSE,1
364,TRUE,4
365,FALSE,2
366,FALSE,1
367,FALSE,0
368,FALSE,0
369,FALSE,2
370,FALSE,1
371,FALSE,1
372,FALSE,1
373,TRUE,4
374,TRUE,4
375,FALSE,1
376,FALSE,2
377,TRUE,4
378,FALSE,1
379,FALSE,1
380,FALSE,1
381,FALSE,0
382,FALSE,0
383,TRUE,4
384,TRUE,4
385,FALSE,2
386,FALSE,1
387,FALSE,1
388,FALSE,1
389,FALSE,1
390,FALSE,2
391,FALSE,2
392,FALSE,2
393,FALSE,2
394,FALSE,3
395,FALSE,1
396,FALSE,2
397,FALSE,1
398,FALSE,0
399,FALSE,1
400,FALSE,0
401,FALSE,3
402,FALSE,2
403,TRUE,4
404,FALSE,1
405,FALSE,1
406,TRUE,4
407,TRUE,3
408,FALSE,2
409,FALSE,3
410,FALSE,0
411,FALSE,2
412,FALSE,1
413,FALSE,1
414,FALSE,2
415,TRUE,3
416,FALSE,1
417,FALSE,0
418,FALSE,0
419,TRUE,4
420,FALSE,2
421,FALSE,3
422,FALSE,1
423,FALSE,0
424,FALSE,2
425,FALSE,1
426,FALSE,1
427,TRUE,4
428,TRUE,4
429,FALSE,3
430,FALSE,1
431,FALSE,1
432,FALSE,0
433,FALSE,2
434,FALSE,2
435,FALSE,0
436,FALSE,0
437,FALSE,1
438,FALSE,1
439,FALSE,1
440,FALSE,0
441,FALSE,1
442,FALSE,3
443,FALSE,2
444,FALSE,1
445,TRUE,4
446,FALSE,1
447,FALSE,3
448,FALSE,0
449,FALSE,3
450,TRUE,3
451,FALSE,0
452,FALSE,1
453,FALSE,2
454,FALSE,1
455,FALSE,1
456,TRUE,4
457,FALSE,0
458,FALSE,2
459,TRUE,4
460,FALSE,2
461,FALSE,2
462,FALSE,0
463,FALSE,1
464,FALSE,0
465,FALSE,0
466,FALSE,0
467,FALSE,1
468,FALSE,1
469,TRUE,4
470,FALSE,2
471,FALSE,3
472,TRUE,4
473,FALSE,0
474,FALSE,2
475,FALSE,1
476,FALSE,0
477,FALSE,0
478,TRUE,4
479,FALSE,1
480,FALSE,1
481,TRUE,4
482,FALSE,1
483,FALSE,2
484,FALSE,0
485,FALSE,2
486,FALSE,2
487,FALSE,0
488,FALSE,0
489,FALSE,0
490,FALSE,2
491,FALSE,1
492,FALSE,0
493,FALSE,0
494,TRUE,4
495,FALSE,2
496,FALSE,0
497,TRUE,4
498,TRUE,4
499,FALSE,1
500,TRUE,4
501,FALSE,0
502,FALSE,1
503,FALSE,0
504,TRUE,4
505,FALSE,0
506,TRUE,4
507,FALSE,0
508,FALSE,1
509,FALSE,1
510,FALSE,1
511,FALSE,2
512,FALSE,2
513,FALSE,2
514,FALSE,3
515,FALSE,2
516,FALSE,2
517,FALSE,1
518,FALSE,1
519,FALSE,2
520,FALSE,2
521,FALSE,3
522,FALSE,2
523,TRUE,4
524,FALSE,2
525,FALSE,3
526,FALSE,1
527,FALSE,2
528,FALSE,0
529,FALSE,0
530,FALSE,1
531,FALSE,2
532,FALSE,2
533,TRUE,4
534,FALSE,1
535,FALSE,0
536,TRUE,4
537,FALSE,1
538,FALSE,2
539,FALSE,2
540,FALSE,2
541,TRUE,4
542,FALSE,1
543,FALSE,0
544,FALSE,0
545,TRUE,4
546,FALSE,1
547,TRUE,4
548,TRUE,4
549,FALSE,1
550,FALSE,0
551,TRUE,4
552,FALSE,0
553,FALSE,3
554,TRUE,4
555,TRUE,4
556,TRUE,4
557,FALSE,1
558,FALSE,2
559,FALSE,0
560,FALSE,1
561,FALSE,1
562,FALSE,3
563,FALSE,3
564,FALSE,1
565,FALSE,0
566,FALSE,1
567,TRUE,4
568,FALSE,1
569,FALSE,2
570,FALSE,3
571,FALSE,1
572,TRUE,4
573,FALSE,1
574,FALSE,1
575,FALSE,2
576,FALSE,1
577,FALSE,0
578,FALSE,0
579,FALSE,2
580,FALSE,1
581,FALSE,2
582,TRUE,4
583,TRUE,4
584,TRUE,4
585,FALSE,0
586,FALSE,3
587,TRUE,4
588,FALSE,1
589,FALSE,2
590,FALSE,2
591,FALSE,1
592,FALSE,2
593,FALSE,0
594,FALSE,0
595,TRUE,4
596,FALSE,1
597,FALSE,1
598,TRUE,4
599,TRUE,4
600,FALSE,3
601,TRUE,4
602,TRUE,4
603,FALSE,2
604,FALSE,2
605,FALSE,0
606,TRUE,4
607,FALSE,1
608,FALSE,2
609,FALSE,0
610,FALSE,2
611,FALSE,1
612,FALSE,0
613,FALSE,2
614,TRUE,4
615,FALSE,1
616,FALSE,1
617,TRUE,4
618,TRUE,4
619,TRUE,4
620,FALSE,1
621,FALSE,1
622,TRUE,4
623,FALSE,1
624,FALSE,0
625,FALSE,2
626,FALSE,0
627,FALSE,1
628,FALSE,4
629,FALSE,2
630,FALSE,0
631,TRUE,4
632,FALSE,0
633,FALSE,2
634,FALSE,1
635,FALSE,2
636,FALSE,0
637,FALSE,1
638,FALSE,1
639,FALSE,1
640,FALSE,2
641,FALSE,0
642,FALSE,1
643,FALSE,2
644,TRUE,4
645,FALSE,0
646,FALSE,1
647,TRUE,4
648,FALSE,0
649,FALSE,2
650,FALSE,1
651,TRUE,4
652,FALSE,0
653,FALSE,2
654,FALSE,2
655,FALSE,1
656,FALSE,0
657,FALSE,2
658,FALSE,1
659,FALSE,2
660,FALSE,1
661,FALSE,3
662,FALSE,1
663,FALSE,1
664,FALSE,2
665,FALSE,2
666,FALSE,1
667,FALSE,2
668,FALSE,0
669,FALSE,0
670,FALSE,0
671,FALSE,1
672,TRUE,4
673,FALSE,2
674,FALSE,2
675,FALSE,2
676,FALSE,2
677,FALSE,2
678,FALSE,1
679,FALSE,0
680,TRUE,4
681,FALSE,3
682,FALSE,0
683,TRUE,4
684,FALSE,3
685,FALSE,1
686,FALSE,1
687,TRUE,4
688,TRUE,4
689,FALSE,1
690,FALSE,2
691,FALSE,2
692,FALSE,0
693,TRUE,4
694,FALSE,1
695,FALSE,2
696,FALSE,1
697,FALSE,1
698,FALSE,2
699,TRUE,4
700,FALSE,3
701,FALSE,2
702,FALSE,1
703,FALSE,2
704,FALSE,1
705,FALSE,2
706,FALSE,0
707,FALSE,2
708,TRUE,4
709,FALSE,2
710,TRUE,4
711,TRUE,4
712,TRUE,4
713,FALSE,0
714,FALSE,3
715,TRUE,4
716,FALSE,1
717,FALSE,1
718,TRUE,4
719,FALSE,2
720,FALSE,2
721,FALSE,3
722,FALSE,1
723,FALSE,1
724,FALSE,0
725,FALSE,3
726,FALSE,2
727,FALSE,1
728,TRUE,4
729,FALSE,1
730,FALSE,3
731,FALSE,0
732,FALSE,2
733,TRUE,4
734,FALSE,1
735,FALSE,0
736,FALSE,2
737,FALSE,2
738,FALSE,2
739,FALSE,2
740,TRUE,4
741,TRUE,4
742,TRUE,4
743,FALSE,1
744,FALSE,3
745,FALSE,0
746,TRUE,4
747,FALSE,0
748,TRUE,4
749,TRUE,4
750,TRUE,4
751,FALSE,2
752,FALSE,1
753,FALSE,2
754,FALSE,1
755,FALSE,2
756,FALSE,0
757,FALSE,0
758,TRUE,4
759,FALSE,3
760,FALSE,2
761,FALSE,1
762,TRUE,4
763,FALSE,0
764,TRUE,4
765,FALSE,0
766,FALSE,1
767,FALSE,1
768,TRUE,4
769,TRUE,4
770,FALSE,1
771,FALSE,0
772,TRUE,4
773,FALSE,2
774,FALSE,2
775,FALSE,0
776,FALSE,1
777,FALSE,1
778,TRUE,4
779,TRUE,4
780,FALSE,0
781,FALSE,3
782,FALSE,2
783,FALSE,1
784,FALSE,0
785,FALSE,1
786,FALSE,2
787,FALSE,3
788,TRUE,4
789,FALSE,1
790,FALSE,0
791,FALSE,2
792,FALSE,2
793,FALSE,1
794,FALSE,1
795,FALSE,1
796,FALSE,0
797,TRUE,4
798,TRUE,4
799,FALSE,2
800,FALSE,0
801,FALSE,1
802,FALSE,2
803,TRUE,4
804,FALSE,1
805,FALSE,0
806,FALSE,2
807,FALSE,1
808,FALSE,2
809,FALSE,2
810,TRUE,4
811,FALSE,2
812,FALSE,1
813,FALSE,3
814,TRUE,4
815,FALSE,2
816,FALSE,0
817,FALSE,1
818,FALSE,2
819,FALSE,3
820,FALSE,1
821,FALSE,0
822,TRUE,4
823,FALSE,0
824,FALSE,3
825,TRUE,4
826,FALSE,0
827,FALSE,2
828,TRUE,4
829,FALSE,2
830,FALSE,2
831,FALSE,2
832,FALSE,1
833,FALSE,1
834,TRUE,4
835,TRUE,4
836,FALSE,2
837,FALSE,1
838,FALSE,2
839,TRUE,4
840,FALSE,1
841,FALSE,2
842,FALSE,0
843,TRUE,4
844,TRUE,4
845,FALSE,1
846,TRUE,4
847,FALSE,2
848,FALSE,2
849,TRUE,4
850,TRUE,4
851,FALSE,2
852,FALSE,1
853,FALSE,1
854,FALSE,1
855,FALSE,0
856,FALSE,1
857,FALSE,1
858,FALSE,3
859,FALSE,1
860,FALSE,2
861,FALSE,2
862,FALSE,2
863,FALSE,1
864,FALSE,0
865,FALSE,1
866,FALSE,2
867,FALSE,3
868,FALSE,2
869,FALSE,1
870,FALSE,1
871,FALSE,1
872,FALSE,1
873,TRUE,4
874,FALSE,1
875,FALSE,4
876,TRUE,4
877,FALSE,0
878,FALSE,1
879,FALSE,0
880,TRUE,4
881,FALSE,1
882,FALSE,1
883,FALSE,1
884,FALSE,2
885,FALSE,2
886,TRUE,4
887,FALSE,1
888,FALSE,1
889,FALSE,3
890,FALSE,0
891,TRUE,4
892,FALSE,2
893,FALSE,3
894,FALSE,1
895,FALSE,0
896,FALSE,1
897,FALSE,1
898,TRUE,4
899,FALSE,0
900,FALSE,1
901,FALSE,1
902,FALSE,0
903,FALSE,2
904,FALSE,0
905,FALSE,2
906,TRUE,4
907,TRUE,4
908,FALSE,1
909,FALSE,2
910,FALSE,1
911,FALSE,1
912,FALSE,1
913,FALSE,1
914,FALSE,2
915,FALSE,3
916,TRUE,4
917,FALSE,3
918,FALSE,2
919,FALSE,1
920,FALSE,0
921,FALSE,0
922,FALSE,1
923,TRUE,4
924,FALSE,1
925,TRUE,4
926,FALSE,2
927,FALSE,0
928,TRUE,4
929,FALSE,1
930,FALSE,0
931,FALSE,0
932,FALSE,2
933,FALSE,2
934,FALSE,2
935,FALSE,2
936,FALSE,1
937,FALSE,2
938,FALSE,1
939,FALSE,0
940,FALSE,1
941,FALSE,2
942,FALSE,2
943,FALSE,3
944,TRUE,4
945,FALSE,1
946,FALSE,1
947,FALSE,2
948,FALSE,2
949,TRUE,4
950,FALSE,1
951,FALSE,1
952,FALSE,1
953,TRUE,4
954,FALSE,2
955,FALSE,0
956,FALSE,1
957,FALSE,2
958,FALSE,2
959,FALSE,1
960,FALSE,1
961,FALSE,2
962,FALSE,2
963,FALSE,2
964,FALSE,0
965,FALSE,1
966,TRUE,4
967,FALSE,0
968,TRUE,4
969,FALSE,1
970,FALSE,1
971,FALSE,2
972,FALSE,2
973,FALSE,1
974,FALSE,1
975,TRUE,4
976,FALSE,1
977,FALSE,1
978,FALSE,1
979,FALSE,0
980,FALSE,1
981,FALSE,2
982,FALSE,1
983,FALSE,1
984,FALSE,3
985,FALSE,0
986,FALSE,1
987,FALSE,2
988,FALSE,1
989,FALSE,2
990,FALSE,1
991,FALSE,0
992,FALSE,0
993,TRUE,4
994,TRUE,4
995,FALSE,2
996,FALSE,1
997,TRUE,4
998,FALSE,1
999,FALSE,1
1000,FALSE,1
1001,FALSE,0
1002,FALSE,1
1003,FALSE,2
1004,FALSE,1
1005,FALSE,3
1006,FALSE,3
1007,FALSE,2
1008,FALSE,1
1009,FALSE,1
1010,TRUE,4
1011,FALSE,2
1012,FALSE,0
1013,FALSE,3
1014,FALSE,1
1015,FALSE,2
1016,TRUE,4
1017,FALSE,2
1018,TRUE,4
1019,FALSE,0
1020,FALSE,2
1021,FALSE,1
1022,FALSE,1
1023,FALSE,2
1024,FALSE,2
1025,FALSE,2
1026,FALSE,1
1027,FALSE,1
1028,FALSE,1
1029,FALSE,3
1030,TRUE,4
1031,FALSE,1
1032,FALSE,1
1033,TRUE,4
1034,TRUE,4
1035,TRUE,4
1036,FALSE,2
1037,FALSE,1
1038,TRUE,4
1039,TRUE,4
1040,FALSE,1
1041,FALSE,2
1042,FALSE,0
1043,TRUE,4
1044,FALSE,1
1045,FALSE,0
1046,FALSE,0
1047,FALSE,1
1048,FALSE,1
1049,FALSE,1
1050,TRUE,4
1051,TRUE,4
1052,FALSE,1
1053,FALSE,1
1054,FALSE,0
1055,FALSE,2
1056,FALSE,1
1057,FALSE,0
1058,FALSE,0
1059,FALSE,0
1060,FALSE,0
1061,TRUE,4
1062,FALSE,3
1063,FALSE,1
1064,FALSE,1
1065,FALSE,1
1066,FALSE,0
1067,TRUE,4
1068,FALSE,1
1069,FALSE,2
1070,FALSE,0
1071,FALSE,1
1072,FALSE,0
1073,FALSE,1
1074,TRUE,4
1075,FALSE,0
1076,FALSE,2
1077,FALSE,2
1078,FALSE,2
1079,FALSE,1
1080,FALSE,1
1081,FALSE,0
1082,FALSE,1
1083,FALSE,0
1084,FALSE,2
1085,FALSE,0
1086,TRUE,4
1087,FALSE,0
1088,FALSE,2
1089,TRUE,4
1090,FALSE,1
1091,FALSE,2
1092,FALSE,1
1093,FALSE,3
1094,FALSE,1
1095,FALSE,1
1096,FALSE,2
1097,FALSE,1
1098,FALSE,2
1099,FALSE,0
1100,FALSE,2
1101,FALSE,1
1102,TRUE,4
1103,FALSE,2
1104,FALSE,2
1105,FALSE,0
1106,FALSE,1
1107,TRUE,4
1108,FALSE,1
1109,FALSE,0
1110,FALSE,3
1111,FALSE,2
1112,FALSE,1
1113,FALSE,3
1114,TRUE,4
1115,FALSE,2
1116,TRUE,4
1117,FALSE,1
1118,FALSE,1
1119,FALSE,2
1120,FALSE,2
1121,FALSE,0
1122,FALSE,0
1123,FALSE,1
1124,TRUE,4
1125,TRUE,4
1126,FALSE,2
1127,FALSE,0
1128,TRUE,4
1129,FALSE,0
1130,FALSE,1
1131,FALSE,2
1132,FALSE,2
1133,FALSE,3
1134,FALSE,2
1135,FALSE,2
1136,FALSE,1
1137,FALSE,1
1138,FALSE,0
1139,FALSE,1
1140,FALSE,2
1141,TRUE,4
1142,FALSE,0
1143,FALSE,2
1144,FALSE,3
1145,TRUE,4
1146,FALSE,0
1147,FALSE,3
1148,FALSE,2
1149,FALSE,0
1150,FALSE,1
1151,FALSE,0
1152,FALSE,0
1153,TRUE,4
1154,FALSE,1
1155,TRUE,4
1156,FALSE,1
1157,FALSE,1
1158,FALSE,2
1159,FALSE,0
1160,FALSE,0
1161,FALSE,1
1162,FALSE,1
1163,TRUE,4
1164,FALSE,1
1165,FALSE,2
1166,FALSE,1
1167,FALSE,1
1168,TRUE,4
1169,TRUE,4
1170,FALSE,2
1171,FALSE,0
1172,FALSE,1
1173,FALSE,1
1174,FALSE,1
1175,FALSE,0
1176,TRUE,4
1177,FALSE,2
1178,FALSE,2
1179,FALSE,1
1180,FALSE,1
1181,TRUE,4
1182,FALSE,0
1183,TRUE,4
1184,FALSE,3
1185,FALSE,0
1186,FALSE,1
1187,FALSE,2
1188,TRUE,4
1189,TRUE,4
1190,FALSE,2
1191,TRUE,4
1192,FALSE,3
1193,FALSE,2
1194,TRUE,4
1195,FALSE,2
1196,FALSE,1
1197,FALSE,0
1198,FALSE,2
1199,FALSE,2
1200,TRUE,4
1201,TRUE,4
1202,FALSE,1
1203,FALSE,0
1204,FALSE,1
1205,FALSE,1
1206,FALSE,2
1207,TRUE,3
1208,FALSE,1
1209,FALSE,2
1210,FALSE,1
1211,FALSE,1
1212,FALSE,0
1213,FALSE,3
1214,FALSE,3
1215,FALSE,0
1216,FALSE,1
1217,FALSE,1
1218,TRUE,4
1219,TRUE,4
1220,FALSE,2
1221,FALSE,0
1222,FALSE,3
1223,FALSE,3
1224,FALSE,0
1225,FALSE,0
1226,FALSE,2
1227,FALSE,1
1228,TRUE,4
1229,FALSE,0
1230,FALSE,1
1231,FALSE,1
1232,TRUE,4
1233,FALSE,0
1234,TRUE,4
1235,FALSE,1
1236,FALSE,1
1237,FALSE,1
1238,FALSE,1
1239,FALSE,0
1240,FALSE,0
1241,FALSE,2
1242,FALSE,0
1243,FALSE,2
1244,FALSE,2
1245,FALSE,0
1246,FALSE,1
1247,FALSE,1
1248,FALSE,1
1249,FALSE,0
1250,FALSE,3
1251,FALSE,1
1252,FALSE,1
1253,FALSE,1
1254,TRUE,4
1255,TRUE,4
1256,FALSE,1
1257,FALSE,2
1258,FALSE,1
1259,FALSE,1
1260,FALSE,3
1261,FALSE,0
1262,FALSE,1
1263,FALSE,2
1264,FALSE,2
1265,FALSE,1
1266,FALSE,1
1267,FALSE,1
1268,FALSE,2
1269,FALSE,0
1270,TRUE,4
1271,TRUE,4
1272,FALSE,1
1273,FALSE,2
1274,FALSE,0
1275,FALSE,0
1276,FALSE,2
1277,FALSE,2
1278,FALSE,2
1279,FALSE,0
1280,FALSE,1
1281,FALSE,1
1282,FALSE,2
1283,FALSE,2
1284,FALSE,0
1285,TRUE,4
1286,FALSE,1
1287,TRUE,4
1288,FALSE,1
1289,TRUE,4
1290,FALSE,1
1291,TRUE,4
1292,FALSE,1
1293,FALSE,2
1294,TRUE,4
1295,FALSE,2
1296,FALSE,1
1297,FALSE,1
1298,FALSE,3
1299,FALSE,0
1300,FALSE,1
1301,FALSE,3
1302,FALSE,2
1303,FALSE,2
1304,TRUE,4
1305,FALSE,2
1306,FALSE,2
1307,FALSE,0
1308,FALSE,2
1309,FALSE,1
1310,FALSE,2
1311,FALSE,1
1312,FALSE,1
1313,FALSE,0
1314,FALSE,1
1315,FALSE,1
1316,FALSE,3
1317,FALSE,1
1318,TRUE,4
1319,FALSE,1
1320,FALSE,2
1321,FALSE,1
1322,FALSE,2
1323,FALSE,3
1324,FALSE,1
1325,FALSE,0
1326,FALSE,1
1327,FALSE,1
1328,FALSE,0
1329,FALSE,2
1330,FALSE,3
1331,FALSE,2
1332,TRUE,4
1333,FALSE,1
1334,FALSE,0
1335,FALSE,0
1336,FALSE,2
1337,FALSE,2
1338,TRUE,4
1339,FALSE,2
1340,TRUE,4
1341,FALSE,0
1342,FALSE,2
1343,FALSE,3
1344,FALSE,1
1345,TRUE,4
1346,FALSE,0
1347,FALSE,1
1348,FALSE,1
1349,TRUE,4
1350,FALSE,0
1351,FALSE,3
1352,FALSE,1
1353,FALSE,1
1354,FALSE,1
1355,FALSE,1
1356,FALSE,0
1357,FALSE,2
1358,FALSE,1
1359,TRUE,4
1360,FALSE,1
1361,FALSE,0
1362,FALSE,1
1363,FALSE,1
1364,FALSE,1
1365,FALSE,1
1366,TRUE,4
1367,FALSE,3
1368,TRUE,4
1369,FALSE,1
1370,FALSE,1
1371,FALSE,2
1372,FALSE,2
1373,FALSE,3
1374,FALSE,1
1375,FALSE,2
1376,FALSE,1
1377,FALSE,0
1378,FALSE,2
1379,FALSE,2
1380,FALSE,2
1381,TRUE,4
1382,FALSE,1
1383,FALSE,3
1384,FALSE,1
1385,FALSE,0
1386,FALSE,1
1387,FALSE,2
1388,TRUE,4
1389,FALSE,0
1390,FALSE,3
1391,FALSE,0
1392,TRUE,4
1393,FALSE,1
1394,FALSE,1
1395,FALSE,2
1396,TRUE,4
1397,TRUE,4
1398,FALSE,0
1399,FALSE,1
1400,FALSE,0
1401,FALSE,0
1402,FALSE,2
1403,FALSE,0
1404,FALSE,1
1405,FALSE,1
1406,FALSE,2
1407,FALSE,2
1408,FALSE,1
1409,FALSE,1
1410,FALSE,1
1411,FALSE,2
1412,FALSE,1
1413,FALSE,2
1414,FALSE,2
1415,TRUE,4
1416,FALSE,2
1417,TRUE,4
1418,FALSE,1
1419,FALSE,0
1420,FALSE,2
1421,FALSE,2
1422,FALSE,0
1423,FALSE,0
1424,FALSE,1
1425,FALSE,2
1426,FALSE,1
1427,FALSE,1
1428,FALSE,0
1429,FALSE,3
1430,FALSE,1
1431,FALSE,0
1432,FALSE,1
1433,FALSE,1
1434,FALSE,1
1435,FALSE,1
1436,FALSE,0
1437,FALSE,3
1438,FALSE,2
1439,FALSE,2
1440,FALSE,3
1441,FALSE,2
1442,FALSE,1
1443,FALSE,2
1444,TRUE,4
1445,TRUE,4
1446,FALSE,0
1447,TRUE,4
1448,FALSE,1
1449,FALSE,3
1450,FALSE,2
1451,TRUE,4
1452,FALSE,0
1453,FALSE,1
1454,FALSE,0
1455,TRUE,4
1456,FALSE,1
1457,FALSE,2
1458,FALSE,3
1459,FALSE,0
1460,TRUE,4
1461,FALSE,2
1462,FALSE,0
1463,FALSE,1
1464,FALSE,3
1465,FALSE,1
1466,FALSE,4
1467,TRUE,4
1468,FALSE,1
1469,FALSE,0
1470,FALSE,1
1471,FALSE,1
1472,FALSE,2
1473,FALSE,1
1474,TRUE,4
1475,TRUE,4
1476,TRUE,4
1477,FALSE,3
1478,TRUE,4
1479,FALSE,1
1480,TRUE,4
1481,FALSE,0
1482,FALSE,2
1483,FALSE,2
1484,FALSE,0
1485,FALSE,1
1486,FALSE,1
1487,FALSE,0
1488,FALSE,3
1489,FALSE,1
1490,FALSE,2
1491,FALSE,1
1492,FALSE,2
1493,TRUE,4
1494,FALSE,3
1495,FALSE,1
1496,FALSE,2
1497,TRUE,4
